comparison,metric,replay_minus_baseline_pp,ci95_low_pp,ci95_high_pp,p_two_sided,p_holm_16,n_boot,rng_seed
Replay 2k vs Direct FT,macro_f1,2.200177396663004,1.0273809781245038,3.7619719216355025,0.0,0.0,10000,20260816
Replay 2k vs Direct FT,micro_f1,1.8328362100418643,0.8291895404127644,3.199527895089438,0.0,0.0,10000,20260816
Replay 2k vs Direct FT,far_gt_0_1,-78.80794701986754,-83.16637500058516,-74.37292229217873,0.0,0.0,10000,20260816
Replay 2k vs Direct FT,complete_miss,27.731481481481485,21.35676495411964,36.7428762428742,0.0,0.0,10000,20260816
Replay 2k vs LwF,macro_f1,1.773510138759696,0.661900628369665,3.0097858019583565,0.0002,0.0014,10000,20260816
Replay 2k vs LwF,micro_f1,1.4964941114543466,0.4577532953789274,2.799082680119036,0.0006,0.0029999999999999996,10000,20260816
Replay 2k vs LwF,far_gt_0_1,-75.93818984547461,-81.72247405851834,-69.61949937014069,0.0,0.0,10000,20260816
Replay 2k vs LwF,complete_miss,21.712962962962965,16.333953801204252,26.163634598712704,0.0,0.0,10000,20260816
Replay 2k vs EWC,macro_f1,2.0329860747413626,0.8804794002397525,3.370149868052552,0.0,0.0,10000,20260816
Replay 2k vs EWC,micro_f1,1.721617659626615,0.6610462654330532,3.078778682692996,0.0002,0.0014,10000,20260816
Replay 2k vs EWC,far_gt_0_1,-77.70419426048565,-82.11115301333135,-73.11760347639822,0.0,0.0,10000,20260816
Replay 2k vs EWC,complete_miss,23.425925925925924,17.093431061025278,28.939843332937382,0.0,0.0,10000,20260816
Replay 2k vs Joint full,macro_f1,0.033385058036154255,-0.13214028713099452,0.18297194016118387,0.67,1.0,10000,20260816
Replay 2k vs Joint full,micro_f1,-0.006196418249893032,-0.16943362947470839,0.1417447994631118,0.9894,1.0,10000,20260816
Replay 2k vs Joint full,far_gt_0_1,-1.766004415011038,-5.15285157320841,1.8510526262343925,0.3474,1.0,10000,20260816
Replay 2k vs Joint full,complete_miss,-0.09259259259259225,-1.162250287733721,1.065849764759698,0.8506,1.0,10000,20260816
